webfileid,vehicle webid,event start,event end,event severity,target type,target,target_width,target_length,ego_width,ego_length
8296,1038,1010,1050,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8297,1038,2475,2530,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8298,1016,8172,8283,Near-Crash,Pickup truck,vehicle in adjacent lane,1.9,5.9,1.763,4.836
8299,1016,5411,5467,Near-Crash,Tractor-trailer: Enclosed box,Single vehicle conflict,2.6,22.5,1.763,4.836
8300,1081,2490,2660,Near-Crash,Pickup truck,vehicle in adjacent lane,1.9,5.9,1.744,4.595
8301,1023,3600,3651,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8303,1081,600,640,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8304,1075,667,740,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.695,4.42
8305,1016,7198,7272,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8306,1016,58,140,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8308,1055,2816,2938,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.78,4.785
8309,1081,285,330,Near-Crash,Sport Utility Vehicles,following vehicle,2.0,4.8,1.744,4.595
8310,1081,787,841,Near-Crash,Sport Utility Vehicles,oncoming traffic,2.0,4.8,1.744,4.595
8311,1075,13634,13708,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8312,1074,18132,18186,Near-Crash,Automobile,following vehicle,1.8,4.5,1.695,4.42
8315,1051,4450,4502,Near-Crash,Automobile,following vehicle,1.8,4.5,1.744,4.595
8316,1014,256,285,Near-Crash,Automobile,vehicle turning into another path (opposite direction),1.8,4.5,1.763,4.836
8317,1014,31276,31381,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8318,1016,1,75,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8319,1016,690,765,Near-Crash,Sport Utility Vehicles,following vehicle,2.0,4.8,1.763,4.836
8320,1024,16325,16356,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8321,1024,17839,17870,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8323,1049,2930,2983,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8324,1006,5661,5689,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.695,4.42
8325,1055,9228,9280,Near-Crash,Sport Utility Vehicles,vehicle turning across another path (opposite direction),2.0,4.8,1.78,4.785
8326,1055,6822,6857,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8327,1074,703,763,Near-Crash,Pickup truck,vehicle in adjacent lane,1.9,5.9,1.695,4.42
8329,1038,2470,2560,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.744,4.595
8330,1046,3049,3114,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8331,1046,135,164,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8332,1046,5734,5791,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8333,1016,400,450,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8334,1042,3390,3429,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8335,1023,7751,7788,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8337,1068,2952,3002,Near-Crash,Pickup truck,following vehicle,1.9,5.9,1.763,4.836
8339,1063,1671,1716,Near-Crash,Automobile,merging vehicle,1.8,4.5,1.744,4.595
8340,1063,7150,7194,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8341,1011,7245,7303,Near-Crash,Automobile,following vehicle,1.8,4.5,1.744,4.595
8342,1017,3462,3531,Near-Crash,Tractor-trailer: Enclosed box,vehicle in adjacent lane,2.6,22.5,1.763,4.836
8343,1017,13171,13226,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.763,4.836
8344,1020,2763,2824,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8345,1046,35900,35959,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
