event_id,event_description
8296,Subject driver is adjusting the radio with her right hand and holding and looking at her cell phone in her left hand.  The lead vehicle is stopped at a light ahead and the subject driver is looking down as she approaches the lead vehicle.  The subject vehicle nearly hits the lead vehicle in the rear.
8297,"Subject vehicle is traveling in the left lane, and subject driver is distracted by a passenger in the adjacent seat.  Another vehicle traveling in the right lane (slightly in front of the subject vehicle) merges in front of the subject vehicle in the left lane, cutting off the subject vehicle.  Subject has to brake to avoid hitting the lead vehicle in the rear."
8298,"Subject driver begins to change lanes (from middle into left lane), sees truck there, goes back to middle lane to avoid sideswiping the truck.  A lead vehicle is stopped at a light in the middle lane, the subject vehicle immediately moves into the right lane to turn right at the intersection.  Changed variable ""Travel Lanes"" after reviewing satellite map"
8299,"Subject driver is in the entrance/exit only lane, trying to get into the left lane.  When she looks to the left lane, her vehicle drifts towards the concrete barrier off on the right side of the road."
8300,"Subject vehicle pulls off of the road on the right side onto the shoulder, then attempts to rejoin traffic by pulling back into the right lane.  The first time the subject vehicle begins to cross over into the lane, she must pull back in order to avoid sideswiping the vehicle to her left in that lane (it appears that she thought that the vehicle in the lane would let her in, but it didn't)."
8301,"Subject vehicle is stopped in right lane, waiting for lead vehicle to parallel park on the right side of the road.  When the lead vehicle is still maneuvering (not in parking space completely), subject vehicle begins to pull around lead vehicle, crossing over the left lane line.  Subject vehicle must pull back into its lane to avoid sideswiping the vehicle on the left (in the left lane)."
8302,"Subject vehicle is traveling in a right exit lane, passing a vehicle in the left lane.  Subject is distracted by talking on the cell phone, subject vehicle hits a snow bank on the passenger side of the vehicle, causing the subject vehicle to swerve and nearly hit the vehicle in the left lane on its right side.    Changed variable ""Travel lanes"" after reviewing satellite map"
8303,"Subject vehicle is merging into the rightmost  lane on the interstate from a right merge lane, goes over the left lane line while looking in center mirror, subject must steer hard back into right merge lane to avoid sideswiping the vehicle to its left. Changed variable ""Travel lanes"" after reviewing satellite map"
8304,"It is night time and there is a high snow bank on the right side of the roadway.  A vehicle pulls out from a side street and stops with it's front end in the subject driver's lane.  The subject driver must slow down and steer left  to avoid the vehicle, which starts to back up."
8305,"Subject is preparing to change into the right lane, looks in center mirror, out right window, back to center mirror, then begins lane change--as changing, looking out right window, but does not see vehicle in right lane coming up on her.  Subject vehicle steers back into left lane to avoid sideswiping the vehicle in the right lane"
8306,"Subject driver is driving on the interstate in the right lane, when a truck in the middle lane crosses in front of her to get into an exit lane.  Subject driver must steer to the left as well to avoid hitting the truck and stop."
8307,Subject driver loses control of vehicle in the snow.  The vehicle spins 180 degrees counter clockwise while moving longitudinally  and laterally and the passenger side of the vehicle hits a snow bank off the opposite side of the road.  Data is only available from the point where vehicle is skidding.
8308,"Subject driver is stopped in the left turn lane at 3 way intersection with a stop sign. As a vehicle comes through the intersection past her in the oncoming lane, she enters the intersection.  Once she is in the intersection, a vehicle approaching from her left, enters  across her path in an attempt to turn left.  The vehicle approaching from the left nearly hits the subject vehicle in the left front side.  It is not clear from the video which vehicle had the right of way, as it is impossible to know if the vehicle that approaches from the left was there waiting or simply pulled up as the subject vehicle entered the intersection."
8309,"Subject driver is approaching a stop sign with a passenger in the adjacent seat.  Subject vehicle is part of a line of vehicles in stop and go traffic as each car stops and then proceeds through the intersection.  Subject driver advances to the stop sign and stops.  A following vehicle advances as well, but almost hits subject vehicle in the rear when the subject vehicle stops."
8310,"Subject driver is on an undivided two lane road and approaching a flat bed truck that is stopped/parked in the lane ahead.  It appears that the subject driver has time to slow to a stop behind the truck, but  he crosses the double line on the left to pass instead.  As the subject driver is passing the truck an SUV approaches head-on.  Subject vehicle nearly hits  the oncoming vehicle head-on."
8311,Subject driver is on interstate with passenger in the vehicle.  As she comes out from under an overpass she sees the vehicle in front of her suddenly decelerating.  She brakes and steers off to the right onto the shoulder to avoid hitting vehicle in front of her.
8312,Subject driver is driving and looking out the left window (appears that she may want to change lanes- but she is not signaling).   There are vehicles surrounding the subject vehicle.  The lead vehicle decelerates and appears to come to a stop while the subject driver is looking left.  Subject driver brakes and decelerates.  The following vehicle almost hits the subject vehicle in the rear.
8313,Subject driver is eating while driving in stop-and-go traffic.  She is glancing back and forth between lap (food) and forward roadway.  She looks down as lead vehicle comes to a stop and hits the lead vehicle.  Inopportune glance.
8314,"Subject driver is looking down, making numerous button presses on her cell phone and hits the median."
